,open,close,high,low
2015/9/30,3052.84,3052.78,3073.3,3039.74
2015/10/8,3156.07,3143.36,3172.28,3133.13
2015/10/9,3146.64,3183.15,3192.72,3137.79
2015/10/12,3193.54,3287.66,3318.71,3188.41
2015/10/13,3262.16,3293.23,3298.63,3253.25
2015/10/14,3280.02,3262.44,3307.32,3256.25
2015/10/15,3255.03,3338.07,3338.3,3254.39
2015/10/16,3358.3,3391.35,3393.02,3334.85
2015/10/19,3401.63,3386.7,3423.4,3355.57
2015/10/20,3377.55,3425.33,3425.52,3357.86
2015/10/21,3428.56,3320.68,3447.26,3265.44
2015/10/22,3292.29,3368.74,3373.78,3282.99
2015/10/23,3377.55,3412.43,3422.02,3360.22
2015/10/26,3448.65,3429.58,3457.52,3402
2015/10/27,3409.14,3434.34,3441.57,3332.62
2015/10/28,3417.01,3375.2,3439.76,3367.23
2015/10/29,3387.77,3387.32,3411.71,3362.51
2015/10/30,3380.28,3382.56,3417.2,3346.59
2015/11/2,3337.58,3325.09,3391.06,3322.31
2015/11/3,3330.32,3316.7,3346.28,3302.18
2015/11/4,3325.62,3459.64,3459.65,3325.62
2015/11/5,3459.22,3522.82,3585.66,3455.53
2015/11/6,3514.44,3590.03,3596.38,3508.83
2015/11/9,3588.5,3646.88,3673.76,3588.5
2015/11/10,3617.4,3640.49,3669.53,3607.89
2015/11/11,3635,3650.25,3654.88,3605.62
2015/11/12,3656.82,3632.9,3659.32,3603.23
2015/11/13,3600.76,3580.84,3632.56,3564.81
2015/11/16,3522.46,3606.96,3607.61,3519.42
2015/11/17,3629.98,3604.8,3678.27,3598.07
2015/11/18,3605.06,3568.47,3617.07,3558.7
2015/11/19,3573.78,3617.06,3618.21,3561.04
2015/11/20,3620.79,3630.5,3640.53,3607.91
2015/11/23,3630.87,3610.32,3654.75,3598.87
2015/11/24,3602.89,3616.11,3616.48,3563.1
2015/11/25,3614.07,3647.93,3648.37,3607.52
2015/11/26,3659.57,3635.55,3668.38,3629.86
2015/11/27,3616.54,3436.3,3621.9,3412.43
