,index,balance,net_worth,open_amount,price_x,step,symbol,type,amount,price_y
72,72,1357.3312569528052,5226856.405997336,2.0597614500000008,3881.009517746907,72,ETH/BTC,TradeType.MARKET_BUY,1.00702246,3881.009517746907
73,73,355.0339699831244,1374021.1776492335,2.3193452300000006,3861.1707055413126,73,ETH/BTC,TradeType.MARKET_BUY,0.25958378,3861.1707055413126
74,74,267.3480315938298,1036955.7454484354,2.3419781400000006,3874.2670911206133,74,ETH/BTC,TradeType.MARKET_BUY,0.02263291,3874.2670911206133
75,75,2517.054480548233,9684826.400666358,1.7564836000000006,3842.403806113039,75,ETH/BTC,TradeType.LIMIT_SELL,0.58549454,3842.403806113039
76,76,28.326212553723053,118193.58742735258,2.3979843300000008,3879.5408198436658,76,ETH/BTC,TradeType.MARKET_BUY,0.64150073,3879.5408198436658
77,77,28.326212553723053,118193.58742735258,2.3979843300000008,3846.0,,,,,
78,78,4605.5655666076655,17731435.587704584,1.1989921600000009,3817.572348328132,78,ETH/BTC,TradeType.MARKET_SELL,1.19899217,3817.572348328132
79,79,6904.309305524465,26563183.5602763,0.5994960800000009,3834.46,79,ETH/BTC,TradeType.LIMIT_SELL,0.59949608,3834.46
80,80,3509.889756933956,13508235.351991389,1.479318010000001,3858.0756319526035,80,ETH/BTC,TradeType.MARKET_BUY,0.87982193,3858.0756319526035
81,81,2648.5419470023767,10195490.423933202,1.702952110000001,3851.594233310481,81,ETH/BTC,TradeType.MARKET_BUY,0.2236341,3851.594233310481
82,82,2648.5419470023767,10195490.423933202,1.702952110000001,3846.0,,,,,
83,83,2648.5419470023767,10195490.423933202,1.702952110000001,3846.0,,,,,
84,84,2648.5419470023767,10200790.913731426,1.702952110000001,3848.0,,,,,
85,85,2648.5419470023767,10206091.403529651,1.702952110000001,3850.0,,,,,
86,86,4282.7160882558765,16497656.93008138,1.277214080000001,3838.45,86,ETH/BTC,TradeType.LIMIT_SELL,0.42573803,3838.45
87,87,1124.8351677134765,4342058.162190265,2.094564120000001,3863.56,87,ETH/BTC,TradeType.LIMIT_BUY,0.81735004,3863.56
88,88,9172.110454012081,35358485.80021658,1.3322676295501878e-15,3841.9808729935685,88,ETH/BTC,TradeType.MARKET_SELL,2.09456412,3841.9808729935685
89,89,2406.6370441194413,9289141.942552526,1.7486678900000012,3868.929857168385,89,ETH/BTC,TradeType.MARKET_BUY,1.74866789,3868.929857168385
90,90,5767.952711517941,22250365.03999734,0.8743339400000012,3844.43,90,ETH/BTC,TradeType.LIMIT_SELL,0.87433395,3844.43
91,91,5767.952711517941,22261902.694088254,0.8743339400000012,3858.0,,,,,
92,92,6606.486973877789,25483748.83198183,0.6557504500000012,3836.2195715689622,92,ETH/BTC,TradeType.MARKET_SELL,0.21858349,3836.2195715689622
93,93,4980.471092003842,19223786.74565391,1.0753762600000012,3874.918661161348,93,ETH/BTC,TradeType.MARKET_BUY,0.41962581,3874.918661161348
94,94,4980.471092003842,19223786.74565391,1.0753762600000012,3858.0,,,,,
95,95,1286.293278130222,4971615.947857587,2.024413570000001,3892.552774214557,95,ETH/BTC,TradeType.MARKET_BUY,0.94903731,3892.552774214557
96,96,332.83411962548735,1293162.6717824356,2.269518960000001,3889.9967010302576,96,ETH/BTC,TradeType.MARKET_BUY,0.24510539,3889.9967010302576
97,97,168.52341931381477,659592.3868262388,2.311778460000001,3888.13640274193,97,ETH/BTC,TradeType.MARKET_BUY,0.0422595,3888.13640274193
98,98,9054.63185907546,34978042.8716085,8.881784197001252e-16,3843.840832292228,98,ETH/BTC,TradeType.MARKET_SELL,2.31177846,3843.840832292228
99,99,4603.65276097606,17779140.976228368,1.149654430000001,3871.58,99,ETH/BTC,TradeType.LIMIT_BUY,1.14965443,3871.58
100,100,4603.65276097606,17769931.37139755,1.149654430000001,3858.0,,,,,
101,101,7921.91757748046,30587633.183186654,0.2874136100000009,3848.42,101,ETH/BTC,TradeType.LIMIT_SELL,0.86224082,3848.42
102,102,9029.905493512415,34846405.29946441,8.881784197001252e-16,3855.0293983362703,102,ETH/BTC,TradeType.LIMIT_SELL,0.28741361,3855.0293983362703
103,103,131.66598303921637,516686.79206673754,2.295408580000001,3876.5384027941545,103,ETH/BTC,TradeType.MARKET_BUY,2.29540858,3876.5384027941545
104,104,2342.1054392151386,9044826.65463816,1.721556430000001,3851.9319935908966,104,ETH/BTC,TradeType.MARKET_SELL,0.57385215,3851.9319935908966
105,105,4002.3854145677324,15450186.638337439,1.291167320000001,3857.6254295853205,105,ETH/BTC,TradeType.MARKET_SELL,0.43038911,3857.6254295853205
106,106,3020.0743492821894,11666471.751008732,1.5452560700000009,3866.01557639031,106,ETH/BTC,TradeType.MARKET_BUY,0.25408875,3866.01557639031
107,107,5990.388765099389,23107908.720672023,0.7726280300000009,3844.43,107,ETH/BTC,TradeType.LIMIT_SELL,0.77262804,3844.43
108,108,7471.06802475583,28817398.998305798,0.38631401000000093,3832.838527725298,108,ETH/BTC,TradeType.MARKET_SELL,0.38631402,3832.838527725298
109,109,125.96874638862937,494674.20774526347,2.285464970000001,3867.57,109,ETH/BTC,TradeType.LIMIT_BUY,1.89915096,3867.57
110,110,32.54935013508732,134378.53248852163,2.309493440000001,3887.8628665721144,110,ETH/BTC,TradeType.MARKET_BUY,0.02402847,3887.8628665721144
111,111,2249.917096813487,8675602.700570527,1.7321200800000012,3840.44,111,ETH/BTC,TradeType.LIMIT_SELL,0.57737336,3840.44
112,112,23.71079156067117,100286.05653868736,2.304347450000001,3890.422622135002,112,ETH/BTC,TradeType.MARKET_BUY,0.57222737,3890.422622135002
113,113,12.08459306952167,55478.681974646046,2.3073626600000012,3855.850335847088,113,ETH/BTC,TradeType.LIMIT_BUY,0.00301521,3855.850335847088
114,114,8867.005862774595,34182307.60099606,1.3322676295501878e-15,3837.680752667235,114,ETH/BTC,TradeType.MARKET_SELL,2.30736266,3837.680752667235
115,115,8867.005862774595,34200041.61272161,1.3322676295501878e-15,3852.824800955747,,,,,
116,116,6691.459139776784,25811130.75750209,0.5634998400000013,3860.776114857124,116,ETH/BTC,TradeType.MARKET_BUY,0.56349984,3860.776114857124
117,117,8851.902108688188,34159490.23742772,1.3322676295501878e-15,3833.972639480084,117,ETH/BTC,TradeType.MARKET_SELL,0.56349984,3833.972639480084
118,118,8851.902108688188,34159490.23742772,1.3322676295501878e-15,3841.6934159956554,,,,,
119,119,8851.902108688188,34159490.23742772,1.3322676295501878e-15,3858.0,,,,,
120,120,8851.902108688188,34124082.62899297,1.3322676295501878e-15,3842.6478514591117,,,,,
