,open,close,low,high,volume
2019/6/18 13:39,3658.95,3658.63,3658.37,3658.97,17736000
2019/6/18 13:40,3658.63,3658.55,3658.06,3658.88,15247600
2019/6/18 13:41,3659.12,3658.57,3658.37,3659.13,16639600
2019/6/18 13:42,3658.96,3657.65,3657.65,3658.96,19369200
2019/6/18 13:43,3657.64,3656.68,3656.68,3657.64,27429200
2019/6/18 13:44,3656.79,3655.42,3655.42,3656.79,51424800
2019/6/18 13:45,3655.84,3654.9,3654.88,3655.84,51097600
2019/6/18 13:46,3655.1,3655.07,3654.88,3655.3,26870000
2019/6/18 13:47,3655.15,3655.08,3654.98,3655.64,21193600
2019/6/18 13:48,3656.05,3655.7,3655.34,3656.08,21838000
2019/6/18 13:49,3656.44,3656.22,3655.48,3656.74,24228000
2019/6/18 13:50,3656.9,3658.19,3656.9,3658.3,24108800
2019/6/18 13:51,3658.38,3658.6,3658.27,3658.88,19623200
2019/6/18 13:52,3658.73,3659.13,3658.46,3659.13,17112800
2019/6/18 13:53,3659.28,3661.68,3659.1,3662.21,36570800
2019/6/18 13:54,3662.08,3661.83,3661.61,3662.51,35732400
2019/6/18 13:55,3661.83,3661.31,3661.06,3661.83,23543200
2019/6/18 13:56,3661.54,3661.05,3660.86,3661.56,18326000
2019/6/18 13:57,3660.95,3660.15,3660.15,3661.29,16485200
2019/6/18 13:58,3660.78,3659.86,3659.85,3660.78,18131200
2019/6/18 13:59,3660.35,3659.94,3659.94,3660.72,21220000
2019/6/18 14:00,3659.84,3659.12,3659.02,3660,21400000
2019/6/18 14:01,3659.03,3655.55,3655.55,3659.03,47858800
2019/6/18 14:02,3655.58,3654.79,3654.56,3655.58,37084800
2019/6/18 14:03,3654.75,3654.74,3654.53,3655.22,29425600
2019/6/18 14:04,3654.87,3655.41,3654.77,3656.08,24603600
2019/6/18 14:05,3655.76,3656.92,3655.32,3657.31,29206400
2019/6/18 14:06,3657.18,3657.52,3657.09,3658,41859200
2019/6/18 14:07,3657.9,3658.64,3657.9,3658.72,35938000
2019/6/18 14:08,3659,3658.48,3657.81,3659,24735200
2019/6/18 14:09,3658.25,3658,3657.64,3658.35,21253200
2019/6/18 14:10,3657.97,3658.15,3657.44,3658.36,15854400
2019/6/18 14:11,3658.19,3660.56,3658.19,3660.56,26901600
2019/6/18 14:12,3660.86,3660.94,3660.36,3661.22,24869200
2019/6/18 14:13,3660.59,3661.21,3660.59,3661.69,17258000
2019/6/18 14:14,3661.53,3661.3,3660.68,3661.64,18975200
2019/6/18 14:15,3660.52,3660.31,3659.83,3661.17,17232000
2019/6/18 14:16,3660.19,3660.18,3659.22,3660.19,18351600
