,open,close,low,high,volume
2019-10-24 10:00:00,3872.89,3875.19,3872.89,3875.19,73844600.0
2019-10-24 10:01:00,3874.9,3879.33,3874.9,3879.33,73702100.0
2019-10-24 10:02:00,3878.83,3880.96,3878.83,3880.96,65223000.0
2019-10-24 10:03:00,3881.19,3879.59,3879.59,3881.27,49901900.0
2019-10-24 10:04:00,3879.61,3880.29,3879.4,3880.29,46396400.0
2019-10-24 10:05:00,3880.27,3881.56,3879.39,3881.56,45128500.0
2019-10-24 10:06:00,3881.68,3882.24,3881.68,3882.87,47390500.0
2019-10-24 10:07:00,3882.21,3880.22,3880.22,3882.25,50053400.0
2019-10-24 10:08:00,3880.4,3881.06,3880.13,3881.16,33959000.0
2019-10-24 10:09:00,3881.27,3881.76,3881.17,3881.91,35543500.0
2019-10-24 10:10:00,3881.75,3885.53,3881.75,3885.53,55106900.0
2019-10-24 10:11:00,3886.62,3887.18,3886.41,3887.49,60000400.0
2019-10-24 10:12:00,3887.28,3889.45,3887.28,3889.45,58977300.0
2019-10-24 10:13:00,3889.61,3889.79,3889.28,3890.2,58529300.0
2019-10-24 10:14:00,3889.47,3888.59,3888.59,3889.54,52680900.0
2019-10-24 10:15:00,3887.93,3887.27,3887.27,3888.33,39092200.0
2019-10-24 10:16:00,3887.06,3885.75,3885.75,3887.06,47080800.0
2019-10-24 10:17:00,3885.72,3886.12,3885.38,3886.33,44138300.0
2019-10-24 10:18:00,3886.18,3886.5,3885.83,3886.75,41311800.0
2019-10-24 10:19:00,3886.67,3887.57,3886.51,3887.57,36059200.0
2019-10-24 10:20:00,3887.58,3886.56,3886.36,3887.79,36919400.0
2019-10-24 10:21:00,3886.59,3886.59,3885.76,3886.88,33647900.0
2019-10-24 10:22:00,3886.21,3884.69,3884.69,3886.21,30713600.0
2019-10-24 10:23:00,3884.92,3885.12,3884.32,3885.43,31809100.0
2019-10-24 10:24:00,3885.28,3889.05,3885.28,3889.64,66859000.0
2019-10-24 10:25:00,3889.04,3884.96,3884.29,3889.04,53689700.0
2019-10-24 10:26:00,3884.8,3884.45,3884.45,3885.07,26476900.0
2019-10-24 10:27:00,3884.62,3883.84,3883.57,3884.77,27630200.0
2019-10-24 10:28:00,3884.24,3883.3,3883.3,3884.24,26020300.0
2019-10-24 10:29:00,3883.02,3883.03,3882.93,3883.43,26785500.0
2019-10-24 10:30:00,3882.76,3882.47,3882.38,3882.85,25185500.0
2019-10-24 10:31:00,3882.42,3885.78,3882.42,3885.81,33069700.0
2019-10-24 10:32:00,3885.67,3883.63,3883.63,3885.67,27847700.0
2019-10-24 10:33:00,3883.59,3882.01,3882.01,3883.59,22619400.0
2019-10-24 10:34:00,3882.18,3881.69,3881.67,3882.28,22109900.0
2019-10-24 10:35:00,3881.53,3880.44,3880.44,3881.86,26080600.0
2019-10-24 10:36:00,3880.61,3880.17,3880.14,3880.87,24859600.0
2019-10-24 10:37:00,3880.1,3879.13,3878.64,3880.45,27176500.0
2019-10-24 10:38:00,3879.08,3878.2,3877.9,3879.26,28719800.0
2019-10-24 10:39:00,3877.81,3877.21,3876.97,3878.06,28915400.0
2019-10-24 10:40:00,3877.07,3877.21,3876.74,3877.45,26797400.0
2019-10-24 10:41:00,3877.43,3875.45,3875.2,3877.47,25491500.0
2019-10-24 10:42:00,3875.3,3874.34,3874.34,3875.3,23789600.0
2019-10-24 10:43:00,3874.17,3874.02,3873.93,3874.49,26383800.0
2019-10-24 10:44:00,3874.04,3874.37,3873.75,3874.59,21495100.0
2019-10-24 10:45:00,3874.36,3874.03,3873.98,3874.52,19990700.0
2019-10-24 10:46:00,3874.09,3874.04,3873.84,3874.6,18357800.0
2019-10-24 10:47:00,3874.19,3874.93,3873.74,3874.93,18058900.0
2019-10-24 10:48:00,3874.58,3873.97,3873.82,3874.58,15631100.0
2019-10-24 10:49:00,3873.96,3873.77,3873.26,3874.36,18336600.0
2019-10-24 10:50:00,3873.85,3874.11,3873.58,3874.15,16574300.0
2019-10-24 10:51:00,3874.35,3874.9,3874.14,3875.02,18249500.0
2019-10-24 10:52:00,3874.93,3874.64,3874.36,3874.94,16673200.0
2019-10-24 10:53:00,3874.52,3874.42,3873.76,3874.97,19947300.0
2019-10-24 10:54:00,3874.53,3873.48,3873.48,3874.53,20853800.0
2019-10-24 10:55:00,3873.89,3873.44,3873.4,3874.13,16707500.0
2019-10-24 10:56:00,3873.4,3871.42,3871.05,3873.4,27137700.0
2019-10-24 10:57:00,3871.1,3869.58,3869.55,3871.25,31695400.0
2019-10-24 10:58:00,3869.51,3868.97,3868.53,3869.51,18566600.0
2019-10-24 10:59:00,3869.23,3868.81,3867.98,3869.29,23144900.0
2019-10-24 11:00:00,3868.43,3868.89,3868.31,3868.94,22314800.0
2019-10-24 11:01:00,3868.54,3869.67,3868.4,3869.67,20525300.0
2019-10-24 11:02:00,3869.57,3869.05,3868.76,3869.68,18561100.0
2019-10-24 11:03:00,3868.68,3868.75,3868.68,3869.42,18434000.0
2019-10-24 11:04:00,3868.89,3869.04,3868.03,3869.04,20173000.0
2019-10-24 11:05:00,3868.92,3868.75,3868.39,3869.12,18900700.0
2019-10-24 11:06:00,3868.21,3868.92,3868.01,3868.92,21499000.0
2019-10-24 11:07:00,3868.43,3868.19,3867.96,3868.43,22819300.0
2019-10-24 11:08:00,3867.89,3866.92,3866.54,3867.89,17732900.0
2019-10-24 11:09:00,3866.62,3865.64,3865.64,3866.62,19359300.0
2019-10-24 11:10:00,3865.42,3865.12,3864.98,3865.88,22793600.0
2019-10-24 11:11:00,3865.6,3868.52,3865.29,3868.52,29423000.0
2019-10-24 11:12:00,3868.67,3867.72,3867.32,3868.67,23703700.0
2019-10-24 11:13:00,3867.98,3868.5,3867.46,3868.5,17663500.0
2019-10-24 11:14:00,3867.67,3868.19,3867.54,3868.33,15134200.0
2019-10-24 11:15:00,3868.33,3867.89,3867.89,3868.33,15061700.0
2019-10-24 11:16:00,3867.65,3867.94,3867.61,3868.07,12680500.0
2019-10-24 11:17:00,3867.95,3868.28,3867.42,3868.28,13649400.0
2019-10-24 11:18:00,3867.86,3868.43,3867.86,3868.57,13799100.0
2019-10-24 11:19:00,3868.35,3870.38,3868.02,3870.38,20056200.0
2019-10-24 11:20:00,3870.11,3870.76,3869.95,3870.76,18783800.0
2019-10-24 11:21:00,3870.3,3869.34,3869.28,3870.66,18737500.0
2019-10-24 11:22:00,3869.3,3869.2,3868.71,3869.62,14945700.0
2019-10-24 11:23:00,3869.09,3869.14,3868.8,3869.23,14026500.0
2019-10-24 11:24:00,3869.43,3868.89,3868.15,3869.43,13481800.0
2019-10-24 11:25:00,3868.73,3868.93,3868.65,3869.02,16670700.0
2019-10-24 11:26:00,3868.8,3868.21,3868.12,3868.8,15682600.0
2019-10-24 11:27:00,3868.16,3867.92,3867.79,3868.39,27810400.0
2019-10-24 11:28:00,3867.58,3866.52,3866.52,3867.9,18455100.0
2019-10-24 11:29:00,3866.49,3866.27,3866.13,3866.68,19170200.0
2019-10-24 11:30:00,3865.91,3865.43,3865.33,3866.02,31473700.0
2019-10-24 13:01:00,3865.79,3863.41,3863.14,3865.79,50918300.0
2019-10-24 13:02:00,3862.96,3862.18,3862.18,3862.96,17498000.0
2019-10-24 13:03:00,3862.15,3862.8,3862.06,3862.8,16719400.0
2019-10-24 13:04:00,3862.48,3862.19,3862.19,3862.66,16848000.0
2019-10-24 13:05:00,3862.12,3861.0,3861.0,3862.12,21002600.0
2019-10-24 13:06:00,3860.8,3860.99,3860.53,3861.22,18559400.0
2019-10-24 13:07:00,3860.71,3863.12,3860.71,3863.38,23310800.0
2019-10-24 13:08:00,3862.82,3864.57,3862.81,3864.57,18083400.0
2019-10-24 13:09:00,3864.46,3867.06,3864.35,3867.2,24202700.0
2019-10-24 13:10:00,3867.32,3866.23,3866.08,3867.32,17511500.0
2019-10-24 13:11:00,3865.9,3865.04,3864.93,3866.73,19380400.0
2019-10-24 13:12:00,3864.84,3864.88,3864.84,3865.49,18652800.0
2019-10-24 13:13:00,3864.47,3863.66,3863.66,3864.6,15703700.0
2019-10-24 13:14:00,3863.45,3862.84,3862.84,3863.95,14870600.0
2019-10-24 13:15:00,3862.72,3862.19,3861.99,3862.98,17186500.0
2019-10-24 13:16:00,3861.83,3861.58,3861.53,3862.06,16958700.0
2019-10-24 13:17:00,3861.49,3860.35,3860.15,3861.49,18519300.0
2019-10-24 13:18:00,3860.28,3860.07,3859.36,3860.28,25684400.0
2019-10-24 13:19:00,3860.13,3860.32,3859.51,3860.72,22489100.0
2019-10-24 13:20:00,3860.22,3859.27,3859.27,3860.33,19569800.0
2019-10-24 13:21:00,3859.25,3858.52,3858.52,3859.51,30132000.0
2019-10-24 13:22:00,3858.39,3858.63,3858.1,3859.01,20465900.0
2019-10-24 13:23:00,3858.67,3858.17,3858.15,3858.67,20048800.0
2019-10-24 13:24:00,3858.12,3856.91,3856.91,3858.12,21201800.0
2019-10-24 13:25:00,3856.84,3855.43,3855.43,3856.84,18434800.0
2019-10-24 13:26:00,3855.5,3853.57,3853.57,3855.5,25722600.0
2019-10-24 13:27:00,3853.42,3853.03,3852.88,3853.59,24769000.0
2019-10-24 13:28:00,3852.97,3854.15,3852.58,3854.49,32506200.0
2019-10-24 13:29:00,3854.21,3855.61,3854.21,3855.94,29370400.0
2019-10-24 13:30:00,3855.88,3856.68,3855.35,3856.69,26314700.0
2019-10-24 13:31:00,3856.66,3856.34,3855.42,3856.66,26716900.0
2019-10-24 13:32:00,3856.42,3858.04,3856.16,3858.19,29371400.0
2019-10-24 13:33:00,3857.96,3858.18,3857.76,3858.5,19159200.0
2019-10-24 13:34:00,3858.35,3858.56,3858.03,3858.75,18879900.0
2019-10-24 13:35:00,3858.96,3859.7,3858.3,3859.7,22590400.0
2019-10-24 13:36:00,3859.49,3858.17,3858.17,3859.49,17025500.0
2019-10-24 13:37:00,3858.21,3857.97,3857.86,3858.76,16577600.0
2019-10-24 13:38:00,3857.8,3858.23,3857.62,3858.47,16652200.0
2019-10-24 13:39:00,3858.49,3857.45,3857.45,3858.61,20421600.0
2019-10-24 13:40:00,3857.75,3858.58,3857.38,3858.8,25417200.0
2019-10-24 13:41:00,3858.91,3858.92,3858.91,3859.52,20304500.0
2019-10-24 13:42:00,3858.82,3859.19,3858.75,3859.23,15846400.0
2019-10-24 13:43:00,3858.99,3858.36,3858.27,3858.99,14402000.0
2019-10-24 13:44:00,3858.13,3856.85,3856.78,3858.17,18886200.0
2019-10-24 13:45:00,3856.64,3855.87,3855.87,3857.24,17526700.0
2019-10-24 13:46:00,3855.61,3855.9,3855.32,3855.9,19388000.0
2019-10-24 13:47:00,3855.25,3859.21,3855.25,3859.21,35499600.0
2019-10-24 13:48:00,3859.25,3863.28,3859.25,3863.66,40271000.0
2019-10-24 13:49:00,3863.36,3861.82,3861.82,3863.36,21676200.0
2019-10-24 13:50:00,3862.02,3861.53,3860.96,3862.23,18238600.0
2019-10-24 13:51:00,3861.5,3859.93,3859.93,3861.71,18077900.0
2019-10-24 13:52:00,3860.28,3859.78,3859.69,3860.28,14751500.0
2019-10-24 13:53:00,3859.46,3859.73,3859.37,3860.08,14430000.0
2019-10-24 13:54:00,3859.84,3860.03,3859.84,3860.34,16305500.0
2019-10-24 13:55:00,3860.04,3859.9,3859.45,3860.2,19179900.0
2019-10-24 13:56:00,3859.41,3862.56,3859.41,3862.56,23036800.0
2019-10-24 13:57:00,3862.03,3862.01,3861.96,3862.72,16827500.0
2019-10-24 13:58:00,3861.88,3862.23,3861.54,3862.49,15022000.0
2019-10-24 13:59:00,3862.36,3862.16,3861.7,3862.39,16203400.0
2019-10-24 14:00:00,3861.89,3861.1,3860.73,3861.89,17426200.0
2019-10-24 14:01:00,3860.61,3859.35,3859.35,3860.86,21642300.0
2019-10-24 14:02:00,3859.53,3861.48,3859.37,3861.48,20309200.0
2019-10-24 14:03:00,3860.59,3859.25,3859.25,3860.81,14386700.0
2019-10-24 14:04:00,3859.25,3859.22,3858.62,3859.48,15971200.0
2019-10-24 14:05:00,3859.32,3858.82,3858.4,3859.39,17206600.0
2019-10-24 14:06:00,3858.55,3862.85,3858.27,3863.03,33432900.0
2019-10-24 14:07:00,3862.54,3861.89,3861.89,3863.3,19878300.0
