,trades,active_holds,passive_holds
676,9522,0,2178
677,9567,0,2129
678,9555,0,2207
679,9582,0,2110
680,9539,0,2163
681,9410,0,2245
682,9290,0,2689
683,9417,0,2213
684,9432,0,2227
685,9426,0,2152
686,9349,0,2243
687,9445,0,2164
688,9349,0,2276
689,9285,0,2246
690,9361,0,2220
691,9354,0,2240
692,9370,0,2240
693,9158,0,2867
694,9291,0,2295
695,9224,0,2329
696,9184,0,2305
697,9254,0,2306
698,9221,0,2360
699,9211,0,2352
700,9136,0,2386
701,9168,0,2400
702,9244,0,2379
703,9113,0,2467
704,9092,0,3003
705,9087,0,2523
706,9251,0,2376
707,9334,0,2373
708,9283,0,2458
709,9233,0,2440
710,9231,0,2390
711,9281,0,2401
712,9291,0,2337
713,9231,0,2398
714,9229,0,2411
715,9253,0,2918
716,9337,0,2428
717,9338,0,2388
718,9413,0,2347
719,9343,0,2350
720,9333,0,2395
721,9371,0,2325
722,9498,0,2278
723,9222,0,2401
724,9441,0,2340
725,9370,0,2307
726,9211,0,2919
727,9371,0,2329
728,9379,0,2418
729,9408,0,2375
730,9370,0,2314
731,9454,0,2335
732,9410,0,2346
733,9382,0,2344
734,9359,0,2377
735,9421,0,2329
736,9422,0,2304
737,9382,0,2876
738,9509,0,2388
739,9659,0,2272
740,9599,0,2331
741,9493,0,2389
742,9439,0,2372
743,9604,0,2238
744,9544,0,2338
745,9526,0,2401
746,9621,0,2311
747,9561,0,2335
748,9425,0,2824
749,9584,0,2273
750,9547,0,2303
751,9753,0,2207
752,9617,0,2272
753,9663,0,2233
754,9617,0,2255
755,9626,0,2224
756,9646,0,2288
757,9758,0,2140
758,9701,0,2255
759,9419,0,2809
760,9625,0,2289
761,9684,0,2241
762,9685,0,2188
763,9592,0,2286
764,9669,0,2284
765,9621,0,2269
766,9629,0,2282
767,9634,0,2354
768,9754,0,2185
769,9669,0,2259
770,9283,0,2856
771,9506,0,2306
772,9591,0,2212
773,9603,0,2201
774,9535,0,2265
775,9567,0,2205
776,9583,0,2241
777,9607,0,2224
778,9475,0,2348
779,9551,0,2275
780,9602,0,2209
781,9223,0,2865
782,9610,0,2199
783,9430,0,2316
784,9567,0,2262
785,9439,0,2309
786,9551,0,2242
787,9471,0,2297
788,9462,0,2290
789,9550,0,2233
790,9510,0,2260
791,9553,0,2275
792,9137,0,2890
793,9516,0,2257
794,9529,0,2243
795,9457,0,2359
796,9517,0,2284
797,9574,0,2227
798,9394,0,2402
799,9551,0,2276
800,9419,0,2339
801,9537,0,2260
802,9443,0,2347
