,balance,net_worth
868,10059.508689921808,10060.366513047677
869,10059.178346486084,10060.395772015623
870,10055.443876524954,10057.027255373894
871,10050.466431806075,10052.536764984081
872,10049.222686585135,10051.441161611692
873,10059.490375961695,10060.659319194854
874,10059.63419994495,10060.630385900406
875,10061.345481507711,10062.426292524471
876,10061.345481507711,10062.192479117102
877,10061.345481507711,10062.044440053276
878,10061.248026577237,10062.13197185568
879,10061.248026577237,10062.235373106898
880,10061.299525297833,10062.1840460558
881,10058.809353665323,10059.887359607777
882,10061.143891703463,10061.938596001924
883,10061.189175131705,10061.986377467258
884,10061.189175131705,10061.910970100664
885,10061.199002587666,10061.879998403783
886,10061.201380369568,10061.695917663443
887,10061.201380369568,10061.774170284329
888,10056.221085686288,10056.961896639203
889,10059.956306698748,10060.380787043907
890,10059.779033758778,10060.49125520166
891,10062.268949983618,10062.782337938219
892,10062.335749614063,10062.94662487516
893,10062.335749614063,10062.90192300564
894,10062.24382594672,10063.163189851251
895,10062.38825598049,10062.974262766835
896,10062.38825598049,10063.181032345798
897,10057.40737379378,10058.707794010308
898,10057.40737379378,10058.788168016134
899,10057.126506624654,10058.248973847463
900,10056.811018012773,10058.798371165944
901,10057.381843206369,10058.795470974957
902,10062.516720850988,10063.523190086702
903,10063.800440262148,10064.462877738484
904,10063.593351610241,10064.37596349926
905,10063.82259745224,10064.639988517662
906,10063.82259745224,10064.52260233241
907,10063.82259745224,10064.576605453138
908,10063.563869720876,10064.588023626116
909,10063.563869720876,10064.596586997053
910,10063.213455031751,10064.60017198654
911,10063.516102128151,10064.445922489094
912,10063.516102128151,10064.879302469466
913,10063.084184040781,10064.796587732013
914,10063.663936807481,10064.651776612473
915,10063.720989833557,10064.827881940273
916,10059.984833416076,10061.02266564287
917,10057.494987169806,10058.681023607882
918,10057.494987169806,10059.06920684143
919,10057.869438353,10058.620978542149
920,10054.13545432401,10055.246615932432
921,10054.431346587964,10055.769669845753
922,10053.187110708825,10054.388292319558
923,10053.187110708825,10054.336941518151
924,10053.009999226355,10053.859624802071
925,10053.009999226355,10053.898878230943
926,10053.009999226355,10053.98388336369
927,10052.69784017837,10054.125334028784
928,10052.69784017837,10054.000088492336
929,10052.925739054812,10054.324589423653
930,10052.584418663118,10054.26441508226
931,10067.182423865828,10067.789144330485
932,10067.182423865828,10067.840335571462
933,10067.182423865828,10067.772188424464
934,10067.182423865828,10067.585755761727
935,10067.112290482824,10067.74456938048
936,10066.91858213372,10067.69466969333
937,10066.91858213372,10067.554525220568
938,10071.90181139651,10072.526526462683
939,10071.734157434472,10072.348215180733
940,10075.473350981953,10075.946160760872
941,10075.473350981953,10075.941296704017
942,10075.299083281114,10076.175900186803
943,10071.558628496443,10072.841115451429
944,10071.512594465106,10072.156343733419
945,10077.122961829597,10077.770175198531
946,10076.937077881495,10077.712722707269
947,10081.145518647305,10081.602905456311
948,10081.145518647305,10081.735930573546
949,10081.194390588502,10081.679799565136
950,10081.194390588502,10081.581286776873
