,index,balance,net_worth,open_amount,price
118,118,1350.2852799999841,9399.885279999984,0.8999999999999999,8944.0
119,119,2243.617199999984,9392.417199999983,0.7999999999999999,8936.0
120,120,3130.5510399999844,9340.951039999984,0.7,8872.0
121,121,4019.0843999999843,9351.884399999984,0.6,8888.0
122,122,4908.4175199999845,9356.417519999985,0.5,8896.0
123,123,5796.950879999985,9352.150879999985,0.4,8888.0
124,124,6684.684479999985,9348.684479999985,0.30000000000000004,8880.0
125,125,7572.418079999985,9348.418079999985,0.20000000000000004,8880.0
126,126,8460.151679999984,9348.151679999984,0.10000000000000003,8880.0
127,127,9347.885279999984,9347.885279999984,2.7755575615628914e-17,8880.0
128,128,10234.019359999984,9347.619359999984,-0.09999999999999998,8864.0
129,129,11109.756559999983,9357.756559999983,-0.19999999999999998,8760.0
130,130,11986.293519999983,9355.893519999983,-0.3,8768.0
131,131,12862.030719999982,9358.030719999982,-0.4,8760.0
132,132,13736.968159999982,9360.968159999982,-0.5,8752.0
133,133,14610.306079999982,9368.706079999982,-0.6,8736.0
134,134,15482.044479999982,9378.044479999982,-0.7,8720.0
135,135,16347.384799999982,9422.584799999982,-0.7999999999999999,8656.0
136,136,17215.92415999998,9396.724159999982,-0.8999999999999999,8688.0
137,137,18082.06423999998,9418.064239999983,-0.9999999999999999,8664.0
138,138,18082.06423999998,9410.064239999983,-0.9999999999999999,8672.0
139,139,18082.06423999998,9402.064239999983,-0.9999999999999999,8680.0
140,140,18082.06423999998,9394.064239999983,-0.9999999999999999,8688.0
141,141,18082.06423999998,9394.064239999983,-0.9999999999999999,8688.0
142,142,17212.20335999998,9385.803359999982,-0.8999999999999999,8696.0
143,143,18074.34463999998,9450.344639999983,-0.9999999999999999,8624.0
144,144,18074.34463999998,9458.344639999983,-0.9999999999999999,8616.0
145,145,18074.34463999998,9474.344639999983,-0.9999999999999999,8600.0
146,146,18074.34463999998,9514.344639999983,-0.9999999999999999,8560.0
147,147,18074.34463999998,9634.344639999983,-0.9999999999999999,8440.0
148,148,18074.34463999998,9642.344639999983,-0.9999999999999999,8432.0
149,149,18074.34463999998,9634.344639999983,-0.9999999999999999,8440.0
150,150,18074.34463999998,9642.344639999983,-0.9999999999999999,8432.0
151,151,18074.34463999998,9618.344639999983,-0.9999999999999999,8456.0
152,152,18074.34463999998,9610.344639999983,-0.9999999999999999,8464.0
153,153,18074.34463999998,9610.344639999983,-0.9999999999999999,8464.0
154,154,17226.09023999998,9594.09023999998,-0.8999999999999999,8480.0
155,155,16377.83583999998,9593.835839999982,-0.7999999999999999,8480.0
156,156,15528.78119999998,9587.18119999998,-0.7,8488.0
157,157,14680.52679999998,9592.52679999998,-0.6,8480.0
158,158,15524.27359999998,9616.27359999998,-0.7,8440.0
159,159,16370.41967999998,9599.21967999998,-0.7999999999999999,8464.0
160,160,17214.96623999998,9611.76623999998,-0.8999999999999999,8448.0
161,161,18061.11231999998,9597.11231999998,-0.9999999999999999,8464.0
162,162,18061.11231999998,9581.11231999998,-0.9999999999999999,8480.0
163,163,18061.11231999998,9581.11231999998,-0.9999999999999999,8480.0
